,EVENT_ID,ORIGIN_TIME,STATION,NETWORK,ELON,ELAT,EDEP,PTIME,STIME,PSTIME,PST_ERR,PS_FREQ,SLON,SLAT,SEVL
2514,2_52302,2010-04-04T18:47:18.790001Z,NMKA,Z1,-175.6385,-19.7535,226.5878,32.21,57.09999847412109,44.08810424804688,0.4435770809650421,3.338333368301392,-174.798004,-20.2596,22.0
2515,2_52302,2010-04-04T18:47:18.209999Z,PNGI,Z1,-175.6385,-19.7535,226.5878,33.79,58.76000213623047,44.18733978271485,0.2221837937831878,2.471029758453369,-174.350006,-19.8248,18.0
2516,2_52302,2010-04-04T18:47:18.770000Z,TNGA,Z1,-175.6385,-19.7535,226.5878,35.23,63.22999954223633,45.905887603759766,0.2845849692821502,3.478999137878418,-175.325104,-21.063499,25.0
2517,2_52302,2010-04-04T18:47:18.720001Z,VAVP,Z1,-175.6385,-19.7535,226.5878,39.28,68.90999603271484,55.196197509765625,0.3432905077934265,9.598993301391602,-173.961395,-18.601999,65.0
2518,2_52302,2010-04-04T18:47:18.700001Z,C01W,YL,-175.6385,-19.7535,226.5878,32.3,,46.15375518798828,0.395256906747818,3.255369186401367,-175.220398,-20.5308,-1655.0
2519,2_52192,2010-03-18T07:24:10.279999Z,VAVP,Z1,-177.301,-19.3719,518.4229,72.72,131.010009765625,84.00463104248047,0.6188932657241821,9.793623924255373,-173.961395,-18.601999,65.0
2520,2_52192,2010-03-18T07:24:10.639999Z,TNGA,Z1,-177.301,-19.3719,518.4229,69.36,124.30999755859376,79.65365600585938,0.3703063130378723,5.41524600982666,-175.325104,-21.063499,25.0
2521,2_52192,2010-03-18T07:24:10.309998Z,NMKA,Z1,-177.301,-19.3719,518.4229,68.69,123.77999877929688,79.4574203491211,0.8161956667900085,2.3582897186279297,-174.798004,-20.2596,22.0
2522,2_52339,2010-04-07T17:42:30.250000Z,PNGI,Z1,-178.8939,-17.2529,572.8308,90.75,163.5500030517578,110.00454711914062,1.2837945222854614,2.4536495208740234,-174.350006,-19.8248,18.0
2523,2_52339,2010-04-07T17:42:30.750000Z,EUAP,Z1,-178.8939,-17.2529,572.8308,95.25,171.73001098632812,105.36074829101562,0.8580237627029419,3.191605806350708,-174.912292,-21.442699,158.0
2524,2_52391,2010-02-09T13:24:36.369999Z,B05W,YL,-176.1213,-21.2178,194.5809,32.63,,42.382469177246094,0.5484189987182617,2.303955078125,-175.705093,-19.837799,-2349.0
2525,2_52391,2010-02-09T13:24:35.910000Z,NMKA,Z1,-176.1213,-21.2178,194.5809,34.09,59.720001220703125,43.99188995361328,0.1352667957544326,7.141539096832275,-174.798004,-20.2596,22.0
2526,2_52391,2010-02-09T13:24:35.770000Z,TNGA,Z1,-176.1213,-21.2178,194.5809,28.23,49.68000030517578,39.9615478515625,0.737252950668335,13.90457820892334,-175.325104,-21.063499,25.0
2527,2_52391,2010-02-09T13:24:35.980000Z,EUAP,Z1,-176.1213,-21.2178,194.5809,30.02,51.98999786376953,45.27923583984375,0.2073616534471511,7.236793041229248,-174.912292,-21.442699,158.0
2528,2_52391,2010-02-09T13:24:36.380001Z,PNGI,Z1,-176.1213,-21.2178,194.5809,39.62,70.22000122070312,51.14500045776367,0.550000011920929,6.093744277954102,-174.350006,-19.8248,18.0
2529,2_52391,2010-02-09T13:24:36.029999Z,FONI,Z1,-176.1213,-21.2178,194.5809,34.97,60.86000061035156,43.41504669189453,0.1360375434160232,7.903571605682373,-174.630798,-20.2796,19.0
2530,2_52391,2010-02-09T13:24:36.059999Z,S01W,YL,-176.1213,-21.2178,194.5809,27.94,50.91999816894531,38.42044448852539,0.5096442699432373,2.958540201187134,-176.039307,-21.951799,-1980.0
2531,2_52245,2010-01-24T12:16:36.549999Z,TNGA,Z1,-176.2785,-21.7908,182.5393,29.45,51.83000183105469,41.64070129394531,0.5444071292877197,4.755033493041992,-175.325104,-21.063499,25.0
2532,2_52245,2010-01-24T12:16:36.529999Z,F02W,YL,-176.2785,-21.7908,182.5393,33.47,58.33000183105469,45.69145202636719,0.6205928921699524,8.715540885925293,-174.438797,-21.349199,-2602.0
